id,title,type,file_path
1409.3215,Sequence to Sequence Learning with Neural Networks,paper,Data/cleaned/papers/1409.3215.md
1505.00468,VQA: Visual Question Answering,paper,Data/cleaned/papers/1505.00468.md
1506.06724,Aligning Books and Movies: Towards Story-like Visual Explanations by Watching Movies and Reading Books,paper,Data/cleaned/papers/1506.06724.md
1512.01274,MXNet: A Flexible and Efficient Machine Learning Library for Heterogeneous Distributed Systems,paper,Data/cleaned/papers/1512.01274.md
1605.08695,TensorFlow: A system for large-scale machine learning,paper,Data/cleaned/papers/1605.08695.md
1701.06538,OUTRAGEOUSLY LARGE NEURAL NETWORKS: THE SPARSELY-GATED MIXTURE-OF-EXPERTS LAYER,paper,Data/cleaned/papers/1701.06538.md
1705.07565,Learning to Prune Deep Neural Networks via Layer-wise Optimal Brain Surgeon,paper,Data/cleaned/papers/1705.07565.md
1706.03762,Attention Is All You Need,paper,Data/cleaned/papers/1706.03762.md
1710.05941,SEARCHING FOR ACTIVATION FUNCTIONS,paper,Data/cleaned/papers/1710.05941.md
1711.02015,T-REx: A Large Scale Alignment of Natural Language with Knowledge Base Triples,paper,Data/cleaned/papers/1711.02015.md
1803.02155,Self-Attention with Relative Position Representations,paper,Data/cleaned/papers/1803.02155.md
1806.02847,A Simple Method for Commonsense Reasoning,paper,Data/cleaned/papers/1806.02847.md
1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,paper,Data/cleaned/papers/1810.04805.md
1901.02860,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,paper,Data/cleaned/papers/1901.02860.md
1905.00075,ON THE USE OF ARXIV AS ADATASET,paper,Data/cleaned/papers/1905.00075.md
1905.12616,Defending Against Neural Fake News,paper,Data/cleaned/papers/1905.12616.md
1906.01227,Sentiment Classification using Document Embeddings trained with Cosine Similarity,paper,Data/cleaned/papers/1906.01227.md
1907.01470,Augmenting Self-attention with Persistent Memory,paper,Data/cleaned/papers/1907.01470.md
1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,paper,Data/cleaned/papers/1908.10084.md
1909.08053,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,paper,Data/cleaned/papers/1909.08053.md
1910.01108,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",paper,Data/cleaned/papers/1910.01108.md
1910.03771,Transformers: State-of-the-Art Natural Language Processing,paper,Data/cleaned/papers/1910.03771.md
1910.07467,Root Mean Square Layer Normalization,paper,Data/cleaned/papers/1910.07467.md
1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,paper,Data/cleaned/papers/1910.10683.md
1910.13461,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",paper,Data/cleaned/papers/1910.13461.md
1911.02150,Fast Transformer Decoding: One Write-Head is All You Need,paper,Data/cleaned/papers/1911.02150.md
1912.01703,"PyTorch: An Imperative Style, High-Performance Deep Learning Library",paper,Data/cleaned/papers/1912.01703.md
2001.08361,Scaling Laws for Neural Language Models,paper,Data/cleaned/papers/2001.08361.md
2001.08435,The Pushshift Reddit Dataset,paper,Data/cleaned/papers/2001.08435.md
2002.05202,GLU Variants Improve Transformer,paper,Data/cleaned/papers/2002.05202.md
2004.03354,Inexpensive Domain Adaptation of Pretrained Language Models: Case Studies on Biomedical NER and Covid-19 QA,paper,Data/cleaned/papers/2004.03354.md
2004.04124,LadaBERT: Lightweight Adaptation of BERT through Hybrid Model Compression,paper,Data/cleaned/papers/2004.04124.md
2004.10568,Up or Down? Adaptive Rounding for Post-Training Quantization,paper,Data/cleaned/papers/2004.10568.md
2004.14566,TRP: Trained Rank Pruning for Efficient Deep Neural Networks,paper,Data/cleaned/papers/2004.14566.md
2005.14165,Language Models are Few-Shot Learners,paper,Data/cleaned/papers/2005.14165.md
2006.16668,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,paper,Data/cleaned/papers/2006.16668.md
2007.01852,Language-agnostic BERT Sentence Embedding,paper,Data/cleaned/papers/2007.01852.md
2007.14966,MIROSTAT: A NEURAL TEXT DECODING ALGORITHM THAT DIRECTLY CONTROLS PERPLEXITY,paper,Data/cleaned/papers/2007.14966.md
2009.06489,The Hardware Lottery,paper,Data/cleaned/papers/2009.06489.md
2011.08115,Learning from Task Descriptions,paper,Data/cleaned/papers/2011.08115.md
2011.09260,Article A Privacy-Preserving Healthcare Framework Using Hyperledger Fabric,paper,Data/cleaned/papers/2011.09260.md
2012.04930,Paraphrasing with Large Language Models,paper,Data/cleaned/papers/2012.04930.md
2101.00027,The Pile: An 800GB Dataset of Diverse Text for Language Modeling,paper,Data/cleaned/papers/2101.00027.md
2101.03961,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,paper,Data/cleaned/papers/2101.03961.md
2103.05327,BERTese: Learning to Speak to BERT,paper,Data/cleaned/papers/2103.05327.md
2103.10385,"GPTUnderstands, Too",paper,Data/cleaned/papers/2103.10385.md
2103.13262,FASTMOE: A FAST MIXTURE-OF-EXPERT TRAINING SYSTEM,paper,Data/cleaned/papers/2103.13262.md
2103.13630,A Survey of Quantization Methods for Efficient Neural Network Inference,paper,Data/cleaned/papers/2103.13630.md
2104.09864,ROFORMER: ENHANCED TRANSFORMER WITH ROTARY POSITION EMBEDDING,paper,Data/cleaned/papers/2104.09864.md
2104.12369,PANGU-Î±: LARGE-SCALE AUTOREGRESSIVE PRETRAINED CHINESE LANGUAGE MODELS WITH AUTO-PARALLEL COMPUTATION,paper,Data/cleaned/papers/2104.12369.md
2106.09685,LORA: LOW-RANK ADAPTATION OF LARGE LAN- GUAGE MODELS,paper,Data/cleaned/papers/2106.09685.md
2106.10715,CPM-2: Large-scale Cost-effective Pre-trained Language Models,paper,Data/cleaned/papers/2106.10715.md
2106.13353,Cutting Down on Prompts and Parameters: Simple Few-Shot Learning with Language Models,paper,Data/cleaned/papers/2106.13353.md
2107.02137,ERNIE 3.0: LARGE-SCALE KNOWLEDGE ENHANCED PRE-TRAINING FOR LANGUAGE UNDERSTANDING AND GENERATION,paper,Data/cleaned/papers/2107.02137.md
2107.06499,Deduplicating Training Data Makes Language Models Better,paper,Data/cleaned/papers/2107.06499.md
2107.11817,Go Wider Instead of Deeper,paper,Data/cleaned/papers/2107.11817.md
2108.08877,Sentence-T5: Scalable Sentence Encoders from Pre-trained Text-to-Text Models,paper,Data/cleaned/papers/2108.08877.md
2109.01134,Learning to Prompt for Vision-Language Models,paper,Data/cleaned/papers/2109.01134.md
